HeightDiff,WeightDiff,ReachDiff,WinDiff,ExpDiff,DrawDiff,LossDiff,Winner
1.0,15.0,-2.0,0.1341911764705882,-2,0.0,-0.13419117647058826,1
1.0,0.0,-2.0,0.16375198728139906,3,0.0,-0.16375198728139906,0
3.0,0.0,0.0,0.04859335038363166,12,0.0,-0.04859335038363172,0
0.0,0.0,-4.0,0.130718954248366,-16,0.0,-0.13071895424836605,1
3.0,0.0,2.0,-0.05246422893481717,3,0.05405405405405406,-0.0015898251192368873,0
-1.0,0.0,-1.0,-0.038363171355498715,-11,0.0,0.038363171355498715,1
0.0,15.0,-2.0,0.07516339869281041,-16,0.0,-0.07516339869281047,0
-1.0,15.0,-2.0,0.1654411764705882,-18,0.0,-0.16544117647058826,1
1.0,0.0,1.0,-0.03167420814479638,-21,0.0,0.03167420814479638,1
-2.0,0.0,3.0,0.043749999999999956,17,0.0,-0.04375000000000001,0
1.0,0.0,5.0,0.0,-5,0.0,0.0,1
-3.0,0.0,0.0,-0.050000000000000044,13,0.03571428571428571,0.014285714285714263,0
-2.0,-15.0,2.0,-0.027272727272727337,7,0.045454545454545456,-0.018181818181818188,1
1.0,15.0,3.0,0.032939189189189144,-5,0.0,-0.0329391891891892,1
-1.0,0.0,-1.0,-0.0688753269398431,-6,0.0,0.06887532693984305,1
3.0,0.0,8.0,-0.08353808353808356,-4,0.0,0.08353808353808351,0
0.0,35.0,2.0,-0.029560810810810856,-5,0.0,0.0295608108108108,1
1.0,0.0,0.0,-0.0928620928620929,2,0.0,0.09286209286209285,0
-1.0,0.0,-1.0,-0.05081081081081085,-12,0.04,0.010810810810810811,1
-1.0,0.0,-1.0,-0.060810810810810856,-13,0.0,0.0608108108108108,0
-5.0,0.0,-1.0,0.07904411764705888,15,0.0,-0.07904411764705882,0
-6.0,0.0,-6.0,-0.06470588235294117,3,0.0,0.06470588235294117,0
-2.0,0.0,1.0,0.10690789473684215,-6,0.0,-0.10690789473684209,0
-2.0,0.0,-1.0,-0.05827067669172925,-10,0.0,0.05827067669172936,0
-1.0,0.0,-1.0,0.1607142857142857,-10,0.07142857142857142,-0.23214285714285715,1
0.0,0.0,-1.0,0.08333333333333337,0,0.0,-0.08333333333333331,1
2.0,0.0,1.0,0.04166666666666663,-3,0.0,-0.041666666666666685,1
1.0,0.0,1.0,0.19852941176470584,-7,0.0,-0.19852941176470587,1
1.0,0.0,2.0,0.1964285714285714,4,0.0,-0.19642857142857142,0
1.0,0.0,2.0,0.05681818181818177,-2,0.0,-0.05681818181818182,0
1.0,0.0,2.0,0.05681818181818177,-2,0.0,-0.05681818181818182,0
-6.0,-20.0,-5.0,0.06071428571428572,11,0.0,-0.06071428571428572,1
-6.0,-20.0,-5.0,0.06071428571428572,11,0.0,-0.06071428571428572,0
-1.0,0.0,-1.0,0.125,-12,0.0,-0.125,1
-2.0,0.0,-3.0,-0.01388888888888884,-6,0.05555555555555555,-0.041666666666666685,1
-1.0,0.0,1.0,-0.125,-6,0.05555555555555555,0.06944444444444442,1
1.0,0.0,0.0,-0.125,-12,0.0,0.125,1
-2.0,0.0,-3.0,0.10389610389610393,-8,0.07142857142857142,-0.17532467532467533,1
-2.0,0.0,-1.0,-0.045454545454545414,0,0.0,0.04545454545454547,1
1.0,0.0,-1.0,-0.015151515151515138,-1,0.0,0.015151515151515138,1
0.0,0.0,0.0,0.13961038961038963,6,0.0,-0.1396103896103896,0
-3.0,0.0,-5.0,-0.07070707070707061,-4,0.05555555555555555,0.015151515151515138,1
-3.0,-10.0,-3.0,0.1700336700336701,5,0.0,-0.17003367003367004,0
-2.0,0.0,-1.0,-0.18181818181818177,-4,0.05555555555555555,0.12626262626262624,1
1.0,0.0,2.0,0.032467532467532534,-8,0.0,-0.03246753246753248,0
-1.0,0.0,1.0,0.23015873015873012,-4,0.07142857142857142,-0.30158730158730157,0
-2.0,10.0,2.0,0.21717171717171713,4,0.0,-0.21717171717171715,0
4.0,0.0,7.0,0.19444444444444442,-6,0.0,-0.19444444444444442,1
-1.0,-10.0,3.0,-0.017094017094017144,-5,0.0,0.017094017094017144,1
-1.0,0.0,1.0,0.1286549707602339,1,0.0,-0.1286549707602339,0
1.0,10.0,3.0,0.35748792270531393,5,0.0,-0.357487922705314,0
0.0,0.0,5.0,0.14814814814814814,9,0.0,-0.14814814814814814,1
0.0,0.0,-2.0,0.11904761904761907,2,0.07142857142857142,-0.19047619047619047,0
-1.0,0.0,-2.0,0.13333333333333341,-2,0.0,-0.1333333333333333,1
