,Winners,Losers
3783,Henrique da Silva,Jonathan Wilson
3784,Kevin Casey,Elvis Mutapcic
3785,Marco Polo Reyes,Dong Hyun Ma
3786,Cody Garbrandt,Thomas Almeida
3787,Jeremy Stephens,Renan Barao
3788,Rick Story,Tarec Saffiedine
3789,Chris Camozzi,Vitor Miranda
3790,Lorenz Larkin,Jorge Masvidal
3791,Paul Felder,Joshua Burkman
3792,Sara McMann,Jessica Eye
3793,Abel Trujillo,Jordan Rinaldi
3794,Jake Collier,Alberto Uda
3795,Erik Koch,Shane Campbell
3796,Bryan Caraway,Aljamain Sterling
3797,Adam Milstead,Chris de la Rocha
3798,Stipe Miocic,Fabricio Werdum
3799,Jacare Souza,Vitor Belfort
3800,Cristiane Justino,Leslie Smith
3801,Mauricio Rua,Corey Anderson
3802,Bryan Barberena,Warlley Alves
3803,Demian Maia,Matt Brown
3804,Thiago Santos,Nate Marquardt
3805,Francisco Trinaldo,Yancy Medeiros
3806,John Lineker,Rob Font
3807,Rogerio Nogueira,Patrick Cummins
3808,Sergio Moraes,Luan Chagas
3809,Renato Moicano,Zubaira Tukhugov
3810,Alistair Overeem,Andrei Arlovski
3811,Stefan Struve,Antonio Silva
3812,Gunnar Nelson,Albert Tumenov
3813,Germaine de Randamie,Anna Elmose
3814,Nikita Krylov,Francimar Barroso
3815,Karolina Kowalkiewicz,Heather Clark
3816,Rustam Khabilov,Chris Wade
3817,Magnus Cedenblad,Garreth McLellan
3818,Josh Emmett,Jon Tuck
3819,Reza Madadi,Yan Cabral
3820,Kyoji Horiguchi,Neil Seery
3821,Leon Edwards,Dominic Waters
3822,Yuta Sasaki,Willie Gates
3823,Jon Jones,Ovince Saint Preux
3824,Demetrious Johnson,Henry Cejudo
3825,Edson Barboza,Anthony Pettis
3826,Robert Whittaker,Rafael Natal
3827,Yair Rodriguez,Andre Fili
3828,Sergio Pettis,Chris Kelades
3829,Danny Roberts,Dominique Steele
3830,Carla Esparza,Juliana Lima
3831,James Vick,Glaico Franca Moreira
3832,Walt Harris,Cody East
3833,Marcos Rogerio de Lima,Clint Hester
3834,Kevin Lee,Efrain Escudero
3835,Glover Teixeira,Rashad Evans
3836,Rose Namajunas,Tecia Torres
3837,Khabib Nurmagomedov,Darrell Horcher
3838,Cub Swanson,Hacran Dias
3839,Michael Chiesa,Beneil Dariush
3840,Raquel Pennington,Bethe Correia
3841,Santiago Ponzinibbio,Court McGee
3842,Michael Graves,Randy Brown
3843,John Dodson,Manvel Gamburyan
3844,Cezar Ferreira,Oluwale Bamgbose
3845,Elizeu Zaleski dos Santos,Omari Akhmedov
3846,Junior Dos Santos,Ben Rothwell
3847,Derrick Lewis,Gabriel Gonzaga
3848,Francis Ngannou,Curtis Blaydes
3849,Timothy Johnson,Marcin Tybura
3850,Jan Blachowicz,Igor Pokrajac
3851,Maryna Moroz,Cristina Stanciu
3852,Zak Cummings,Nicolas Dalby
3853,Alejandro Perez,Ian Entwistle
3854,Mairbek Taisumov,Damir Hadzovic
3855,Damian Stasiak,Filip Pejic
3856,Lucas Martins,Robert Whiteford
3857,Jared Cannonier,Cyril Asker
3858,Bojan Velickovic,Alessio Di Chirico
3859,Mark Hunt,Frank Mir
3860,Neil Magny,Hector Lombard
3861,Jake Matthews,Johnny Case
3862,Daniel Kelly,Antonio Carlos Junior
3863,Steve Bosse,James Te Huna
3864,Bec Rawlings,Seo Hee Ham
3865,Alan Jouban,Brendan O'Reilly
3866,Dan Hooker,Mark Eddiva
3867,Leslie Smith,Rin Nakai
3868,Viscardi Andrade,Richard Walsh
3869,Ross Pearson,Chad Laprise
3870,Alan Patrick,Damien Brown
3871,Nate Diaz,Conor McGregor
3872,Miesha Tate,Holly Holm
3873,Ilir Latifi,Gian Villante
3874,Corey Anderson,Tom Lawlor
3875,Amanda Nunes,Valentina Shevchenko
3876,Siyar Bahadurzada,Brandon Thatch
3877,Nordine Taleb,Erick Silva
3878,Vitor Miranda,Marcelo Guimaraes
3879,Darren Elkins,Chas Skelly
3880,Diego Sanchez,Jim Miller
3881,Jason Saggo,Justin Salas
3882,Teruto Ishihara,Julian Erosa
3883,Michael Bisping,Anderson Silva
3884,Gegard Mousasi,Thales Leites
3885,Tom Breese,Keita Nakamura
3886,Brad Pickett,Francisco Rivera
3887,Makwan Amirkhani,Mike Wilkinson
3888,Davey Grant,Marlon Vera
3889,Scott Askham,Chris Dempsey
3890,Arnold Allen,Yaotzin Meza
3891,Krzysztof Jotko,Brad Scott
3892,Rustam Khabilov,Norman Parke
3893,Daniel Omielanczuk,Jarjis Danho
3894,Teemu Packalen,Thibault Gouti
3895,David Teymur,Martin Svensson
3896,Donald Cerrone,Alex Oliveira
3897,Derek Brunson,Roan Carneiro
3898,Cody Garbrandt,Augusto Mendes
3899,Dennis Bermudez,Tatsuya Kawajiri
3900,Chris Camozzi,Joe Riggs
3901,James Krause,Shane Campbell
3902,Sean Strickland,Alex Garcia
3903,Oluwale Bamgbose,Daniel Sarafian
3904,Anthony Smith,Leonardo Guimaraes
3905,Nathan Coy,Jonavin Webb
3906,Ashlee Evans-Smith,Marion Reneau
3907,Lauren Murphy,Kelly Faszholz
3908,Shamil Abdurakhimov,Anthony Hamilton
3909,Stephen Thompson,Johny Hendricks
3910,Roy Nelson,Jared Rosholt
3911,Ovince Saint Preux,Rafael Cavalcante
3912,Joseph Benavidez,Zach Makovsky
3913,Misha Cirkunov,Alex Nicholson
3914,Mike Pyle,Sean Spencer
3915,Joshua Burkman,KJ Noons
3916,Derrick Lewis,Damian Grabowski
3917,Justin Scoggins,Ray Borg
3918,Diego Rivas,Noad Lahat
3919,Mickey Gall,Mike Jackson
3920,Alex White,Artem Lobov
3921,Anthony Johnson,Ryan Bader
3922,Ben Rothwell,Josh Barnett
3923,Jimmie Rivera,Iuri Alcantara
3924,Bryan Barberena,Sage Northcutt
3925,Tarec Saffiedine,Jake Ellenberger
3926,Diego Ferreira,Olivier Aubin-Mercier
3927,Rafael Natal,Kevin Casey
3928,Wilson Reis,Dustin Ortiz
3929,Alexander Yakovlev,George Sullivan
3930,Alex Caceres,Masio Fullen
3931,Randy Brown,Matt Dwyer
3932,Damon Jackson,Levan Makashvili
3933,Anthony Rocco Martin,Felipe Olivieri
3934,Dominick Cruz,TJ Dillashaw
3935,Eddie Alvarez,Anthony Pettis
3936,Travis Browne,Matt Mitrione
3937,Francisco Trinaldo,Ross Pearson
3938,Patrick Cote,Ben Saunders
3939,Ed Herman,Tim Boetsch
3940,Chris Wade,Mehdi Baghdad
3941,Luke Sanders,Maximo Blanco
3942,Paul Felder,Daron Cruickshank
3943,Ilir Latifi,Sean O'Connell
3944,Charles Rosa,Kyle Bochniak
3945,Rob Font,Joey Gomez
3946,Francimar Barroso,Elvis Mutapcic
3947,Robbie Lawler,Carlos Condit
3948,Stipe Miocic,Andrei Arlovski
3949,Albert Tumenov,Lorenz Larkin
3950,Brian Ortega,Diego Brandao
3951,Abel Trujillo,Tony Sims
3952,Michael McDonald,Masanori Kanehara
3953,Alex Morono,Kyle Noke
3954,Justine Kish,Nina Nunes
3955,Drew Dober,Scott Holtzman
3956,Dustin Poirier,Joe Duffy
3957,Michinori Tanaka,Joe Soto
3958,Sheldon Westcott,Edgar Garcia
3959,Rafael Dos Anjos,Donald Cerrone
3960,Alistair Overeem,Junior Dos Santos
3961,Nate Diaz,Michael Johnson
3962,Karolina Kowalkiewicz,Randa Markos
3963,Charles Oliveira,Myles Jury
3964,Nate Marquardt,CB Dollaway
3965,Valentina Shevchenko,Sarah Kaufman
3966,Tamdan McCrory,Josh Samman
3967,Nik Lentz,Danny Castillo
3968,Cole Miller,Jim Alers
3969,Kamaru Usman,Leon Edwards
3970,Vicente Luque,Hayder Hassan
3971,Francis Ngannou,Luis Henrique
3972,Conor McGregor,Jose Aldo
3973,Luke Rockhold,Chris Weidman
3974,Yoel Romero,Jacare Souza
3975,Demian Maia,Gunnar Nelson
3976,Max Holloway,Jeremy Stephens
3977,Urijah Faber,Frankie Saenz
3978,Tecia Torres,Jocelyn Jones-Lybarger
3979,Warlley Alves,Colby Covington
3980,Leonardo Santos,Kevin Lee
3981,Magomed Mustafaev,Joe Proctor
3982,Yancy Medeiros,John Makdessi
3983,Court McGee,Marcio Alexandre Junior
3984,Frankie Edgar,Chad Mendes
3985,Ryan Hall,Artem Lobov
3986,Tony Ferguson,Edson Barboza
3987,Evan Dunham,Joe Lauzon
3988,Tatsuya Kawajiri,Jason Knight
3989,Julian Erosa,Marcin Wrzosek
3990,Gabriel Gonzaga,Konstantin Erokhin
3991,Ryan LaFlare,Mike Pierce
3992,Geane Herrera,Joby Sanchez
3993,Chris Gruetzemacher,Abner Lloveras
3994,Rose Namajunas,Paige VanZant
3995,Michael Chiesa,Jim Miller
3996,Sage Northcutt,Cody Pfister
3997,Thiago Santos,Elias Theodorou
3998,Tim Means,John Howard
3999,Sergio Moraes,Omari Akhmedov
4000,Antonio Carlos Junior,Kevin Casey
4001,Aljamain Sterling,Johnny Eduardo
4002,Santiago Ponzinibbio,Andreas Stahl
4003,Danny Roberts,Nathan Coy
4004,Zubaira Tukhugov,Phillipe Nover
4005,Kailin Curran,Emily Kagan
4006,Benson Henderson,Jorge Masvidal
4007,Dong Hyun Kim,Dominic Waters
4008,Alberto Mina,Yoshihiro Akiyama
4009,Dooho Choi,Sam Sicilia
4010,Dongi Yang,Jake Collier
4011,Mike de la Torre,Yui Chul Nam
4012,Tae Hyun Bang,Leo Kuntz
4013,Seo Hee Ham,Cortney Casey
4014,Fredy Serrano,Yao Zhikui
4015,Marco Beltran,Guangyou Ning
4016,Dominique Steele,Dong Hyun Ma
4017,Neil Magny,Kelvin Gastelum
4018,Ricardo Lamas,Diego Sanchez
4019,Henry Cejudo,Jussier Formiga
4020,Erick Montano,Enrique Marin
4021,Enrique Barzola,Horacio Gutierrez
4022,Leandro Silva,Efrain Escudero
4023,Erik Perez,Taylor Lapilus
4024,Bartosz Fabinski,Hector Urbina
4025,Alejandro Perez,Scott Jorgensen
4026,Andre Fili,Gabriel Benitez
4027,Alvaro Herrera Mendoza,Vernon Ramos Ho
4028,Marco Polo Reyes,Cesar Arzamendia
4029,Michel Prazeres,Valmir Lazaro
4030,Holly Holm,Ronda Rousey
4031,Joanna Jedrzejczyk,Valerie Letourneau
4032,Mark Hunt,Antonio Silva
4033,Robert Whittaker,Uriah Hall
4034,Jared Rosholt,Stefan Struve
4035,Jake Matthews,Akbarh Arreola
4036,Kyle Noke,Peter Sobotta
4037,Gian Villante,Anthony Perosh
4038,Danny Martinez,Richie Vaculik
4039,Daniel Kelly,Steve Montgomery
4040,Richard Walsh,Steve Kennedy
4041,James Moontasri,Anton Zafir
4042,Ben Nguyen,Ryan Benoit
4043,Vitor Belfort,Dan Henderson
4044,Glover Teixeira,Patrick Cummins
4045,Thomas Almeida,Anthony Birchak
4046,Alex Oliveira,Piotr Hallmann
4047,Rashid Magomedov,Gilbert Burns
4048,Corey Anderson,Fabio Maldonado
4049,Abel Trujillo,Gleison Tibau
4050,Johnny Case,Yan Cabral
4051,Thiago Tavares,Clay Guida
4052,Chas Skelly,Edimilson Souza
4053,Viscardi Andrade,Gasan Umalatov
4054,Jimmie Rivera,Pedro Munhoz
4055,Matheus Nicolau,Bruno Korea
4056,Louis Smolka,Paddy Holohan
4057,Norman Parke,Reza Madadi
4058,Nicolas Dalby,Darren Till
4059,Neil Seery,Jon Delos Reyes
4060,Stevie Ray,Mickael Lebout
4061,Aisling Daly,Ericka Almeida
4062,Krzysztof Jotko,Scott Askham
4063,Tom Breese,Cathal Pendred
4064,Darren Elkins,Robert Whiteford
4065,Garreth McLellan,Bubba Bush
4066,Daniel Cormier,Alexander Gustafsson
4067,Ryan Bader,Rashad Evans
4068,Ruslan Magomedov,Shawn Jordan
4069,Joseph Benavidez,Ali Bagautinov
4070,Julianna Pena,Jessica Eye
4071,Yair Rodriguez,Dan Hooker
4072,Albert Tumenov,Alan Jouban
4073,Adriano Martins,Islam Makhachev
4074,Rose Namajunas,Angela Hill
4075,Sage Northcutt,Francisco Trevino
4076,Sergio Pettis,Chris Cariaso
4077,Derrick Lewis,Viktor Pesta
4078,Josh Barnett,Roy Nelson
4079,Uriah Hall,Gegard Mousasi
4080,Kyoji Horiguchi,Chico Camus
4081,Takeya Mizugaki,George Roop
4082,Diego Brandao,Katsunori Kikuno
4083,Mizuto Hirota,Teruto Ishihara
4084,Keita Nakamura,Li Jingliang
4085,Nick Hein,Yusuke Kasuya
4086,Kajan Johnson,Naoyuki Kotani
4087,Shinsho Anzai,Roger Zapata
4088,Demetrious Johnson,John Dodson
4089,Andrei Arlovski,Frank Mir
4090,Anthony Johnson,Jimi Manuwa
4091,Corey Anderson,Jan Blachowicz
4092,Paige VanZant,Alex Chambers
4093,Ross Pearson,Paul Felder
4094,John Lineker,Francisco Rivera
4095,Raquel Pennington,Jessica Andrade
4096,Tiago dos Santos e Silva,Clay Collard
4097,Joe Riggs,Ron Stallings
4098,Joaquim Silva,Nazareno Malegarie
4099,Max Holloway,Charles Oliveira
4100,Neil Magny,Erick Silva
4101,Patrick Cote,Joshua Burkman
4102,Francisco Trinaldo,Chad Laprise
4103,Olivier Aubin-Mercier,Tony Sims
4104,Valerie Letourneau,Maryna Moroz
4105,Frankie Perez,Sam Stout
4106,Felipe Arantes,Yves Jabouin
4107,Nikita Krylov,Marcos Rogerio de Lima
4108,Chris Kelades,Chris Beal
4109,Shane Campbell,Elias Silverio
4110,Misha Cirkunov,Daniel Jolly
4111,Glover Teixeira,Ovince Saint Preux
4112,Beneil Dariush,Michael Johnson
4113,Derek Brunson,Sam Alvey
4114,Jared Rosholt,Timothy Johnson
4115,Amanda Nunes,Sara McMann
4116,Ray Borg,Geane Herrera
4117,Uriah Hall,Oluwale Bamgbose
4118,Chris Camozzi,Tom Watson
4119,Dustin Ortiz,Willie Gates
4120,Frankie Saenz,Sirwan Kakai
4121,Jonathan Wilson,Chris Dempsey
4122,Marlon Vera,Roman Salazar
4123,Scott Holtzman,Anthony Christodoulou
4124,Ronda Rousey,Bethe Correia
4125,Mauricio Rua,Rogerio Nogueira
4126,Glaico Franca Moreira,Fernando Bruno
4127,Reginaldo Vieira,Dileno Lopes
4128,Stefan Struve,Antonio Rodrigo Nogueira
4129,Antonio Silva,Soa Palelei
4130,Claudia Gadelha,Jessica Aguilar
4131,Demian Maia,Neil Magny
4132,Patrick Cummins,Rafael Cavalcante
4133,Warlley Alves,Nordine Taleb
4134,Iuri Alcantara,Leandro Issa
4135,Vitor Miranda,Clint Hester
4136,Guido Cannetti,Hugo Viana
4137,TJ Dillashaw,Renan Barao
4138,Miesha Tate,Jessica Eye
4139,Edson Barboza,Paul Felder
4140,Joe Lauzon,Takanori Gomi
4141,Tom Lawlor,Gian Villante
4142,Jim Miller,Danny Castillo
4143,Ben Saunders,Kenny Robertson
4144,Bryan Caraway,Eddie Wineland
4145,James Krause,Daron Cruickshank
4146,Andrew Holbrook,Ramsey Nijem
4147,Elizabeth Phillips,Jessamyn Duke
4148,Zak Cummings,Dominique Steele
4149,Michael Bisping,Thales Leites
4150,Evan Dunham,Ross Pearson
4151,Joe Duffy,Ivan Jorge
4152,Joanne Wood,Cortney Casey
4153,Leon Edwards,Pawel Pawlak
4154,Stevie Ray,Leonardo Mafra
4155,Paddy Holohan,Vaughan Lee
4156,Ilir Latifi,Hans Stringer
4157,Mickael Lebout,Teemu Packalen
4158,Robert Whiteford,Paul Redmond
4159,Jimmie Rivera,Marcus Brimage
4160,Daniel Omielanczuk,Chris de la Rocha
4161,Frank Mir,Todd Duffee
4162,Tony Ferguson,Josh Thomson
4163,Holly Holm,Marion Reneau
4164,Manvel Gamburyan,Scott Jorgensen
4165,Kevin Lee,James Moontasri
4166,Alan Jouban,Matt Dwyer
4167,Sam Sicilia,Yaotzin Meza
4168,Jessica Andrade,Sarah Moras
4169,Rani Yahya,Masanori Kanehara
4170,Sean Strickland,Igor Araujo
4171,Kevin Casey,Ildemar Alcantara
4172,Lyman Good,Andrew Craig
4173,Stephen Thompson,Jake Ellenberger
4174,Kamaru Usman,Hayder Hassan
4175,Michael Graves,Vicente Luque
4176,Jorge Masvidal,Cezar Ferreira
4177,Michelle Waterson-Gomez,Angela Magana
4178,Maximo Blanco,Mike de la Torre
4179,Josh Samman,Caio Magalhaes
4180,Jerrod Sanders,Russell Doane
4181,Trevor Smith,Dan Miller
4182,George Sullivan,Dominic Waters
4183,Willie Gates,Darrell Montague
4184,Conor McGregor,Chad Mendes
4185,Robbie Lawler,Rory MacDonald
4186,Jeremy Stephens,Dennis Bermudez
4187,Gunnar Nelson,Brandon Thatch
4188,Thomas Almeida,Brad Pickett
4189,Matt Brown,Tim Means
4190,Alex Garcia,Mike Swick
4191,John Howard,Cathal Pendred
4192,Cody Garbrandt,Henry Briones
4193,Louis Smolka,Neil Seery
4194,Cody Pfister,Yosdenis Cedeno
4195,Yoel Romero,Lyoto Machida
4196,Lorenz Larkin,Santiago Ponzinibbio
4197,Antonio Carlos Junior,Eddie Gordon
4198,Thiago Santos,Steve Bosse
4199,Hacran Dias,Levan Makashvili
4200,Alex Oliveira,Joe Merritt
4201,Leandro Silva,Lewis Gonzalez
4202,Tony Sims,Steve Montgomery
4203,Sirwan Kakai,Danny Martinez
4204,Joanna Jedrzejczyk,Jessica Penne
4205,Tatsuya Kawajiri,Dennis Siver
4206,Peter Sobotta,Steve Kennedy
4207,Nick Hein,Lukasz Sajewski
4208,Makwan Amirkhani,Masio Fullen
4209,Mairbek Taisumov,Alan Patrick
4210,Arnold Allen,Alan Omer
4211,Noad Lahat,Niklas Backstrom
4212,Scott Askham,Antonio Dos Santos
4213,Magomed Mustafaev,Piotr Hallmann
4214,Taylor Lapilus,Yuta Sasaki
4215,Fabricio Werdum,Cain Velasquez
4216,Eddie Alvarez,Gilbert Melendez
4217,Kelvin Gastelum,Nate Marquardt
4218,Yair Rodriguez,Charles Rosa
4219,Tecia Torres,Angela Hill
4220,Henry Cejudo,Chico Camus
4221,Efrain Escudero,Drew Dober
4222,Patrick Williams,Alejandro Perez
4223,Johnny Case,Francisco Trevino
4224,Cathal Pendred,Augusto Montano
4225,Gabriel Benitez,Clay Collard
4226,Dan Henderson,Tim Boetsch
4227,Ben Rothwell,Matt Mitrione
4228,Dustin Poirier,Yancy Medeiros
4229,Brian Ortega,Thiago Tavares
4230,Anthony Birchak,Joe Soto
4231,Francisco Rivera,Alex Caceres
4232,Shawn Jordan,Derrick Lewis
4233,Omari Akhmedov,Brian Ebersole
4234,Chris Wade,Christos Giagos
4235,Joe Proctor,Justin Edwards
4236,Jake Collier,Ricardo Abreu
4237,Jose Quinonez,Leonardo Morales
4238,Carlos Condit,Thiago Alves
4239,Charles Oliveira,Nik Lentz
4240,Alex Oliveira,KJ Noons
4241,Francimar Barroso,Ryan Jimmo
4242,Francisco Trinaldo,Norman Parke
4243,Darren Till,Wendell Oliveira Marques
4244,Rony Jason,Damon Jackson
4245,Jussier Formiga,Wilson Reis
4246,Nicolas Dalby,Elizeu Zaleski dos Santos
4247,Mirsad Bektic,Lucas Martins
4248,Juliana Lima,Ericka Almeida
4249,Tom Breese,Luiz Dutra
4250,Daniel Cormier,Anthony Johnson
4251,Chris Weidman,Vitor Belfort
4252,Donald Cerrone,John Makdessi
4253,Andrei Arlovski,Travis Browne
4254,Joseph Benavidez,John Moraga
4255,John Dodson,Zach Makovsky
4256,Dong Hyun Kim,Joshua Burkman
4257,Rafael Natal,Uriah Hall
4258,Colby Covington,Mike Pyle
4259,Islam Makhachev,Leo Kuntz
4260,Justin Scoggins,Josh Sampo
4261,Frankie Edgar,Urijah Faber
4262,Gegard Mousasi,Constantinos Philippou
4263,Mark Munoz,Luke Barnatt
4264,Neil Magny,Hyun Gyu Lim
4265,Phillipe Nover,Yui Chul Nam
4266,Levan Makashvili,Mark Eddiva
4267,Jon Tuck,Tae Hyun Bang
4268,Kajan Johnson,Zhang Lipeng
4269,Li Jingliang,Dhiego Lima
4270,Guangyou Ning,Royston Wee
4271,Jon Delos Reyes,Roldan Sangcha'an
4272,Yao Zhikui,Nolan Ticman
4273,Stipe Miocic,Mark Hunt
4274,Robert Whittaker,Brad Tavares
4275,Sean O'Connell,Anthony Perosh
4276,James Vick,Jake Matthews
4277,Dan Hooker,Hatsu Hioki
4278,Kyle Noke,Jonavin Webb
4279,Sam Alvey,Daniel Kelly
4280,Bec Rawlings,Lisa Ellis
4281,Brad Scott,Dylan Andrews
4282,Alex Chambers,Kailin Curran
4283,Brendan O'Reilly,Vik Grujic
4284,Ben Nguyen,Alptekin Ozkilic
4285,Demetrious Johnson,Kyoji Horiguchi
4286,Quinton Jackson,Fabio Maldonado
4287,Michael Bisping,CB Dollaway
4288,John Makdessi,Shane Campbell
4289,Thomas Almeida,Yves Jabouin
4290,Patrick Cote,Joe Riggs
4291,Alexis Davis,Sarah Kaufman
4292,Chad Laprise,Bryan Barberena
4293,Olivier Aubin-Mercier,David Michaud
4294,Nordine Taleb,Chris Clements
4295,Valerie Letourneau,Jessica Rakoczy
4296,Randa Markos,Aisling Daly
4297,Luke Rockhold,Lyoto Machida
4298,Jacare Souza,Chris Camozzi
4299,Max Holloway,Cub Swanson
4300,Paige VanZant,Felice Herrig
4301,Beneil Dariush,Jim Miller
4302,Ovince Saint Preux,Patrick Cummins
4303,Gian Villante,Corey Anderson
4304,Aljamain Sterling,Takeya Mizugaki
4305,Tim Means,George Sullivan
4306,Diego Brandao,Jimy Hettes
4307,Chris Dempsey,Eddie Gordon
4308,Mirko Filipovic,Gabriel Gonzaga
4309,Jimi Manuwa,Jan Blachowicz
4310,Pawel Pawlak,Sheldon Westcott
4311,Maryna Moroz,Joanne Wood
4312,Leon Edwards,Seth Baczynski
4313,Bartosz Fabinski,Garreth McLellan
4314,Sergio Moraes,Mickael Lebout
4315,Yaotzin Meza,Damian Stasiak
4316,Anthony Hamilton,Daniel Omielanczuk
4317,Aleksandra Albu,Izabela Badurek
4318,Stevie Ray,Marcin Bandel
4319,Taylor Lapilus,Rocky Lee
4320,Chad Mendes,Ricardo Lamas
4321,Al Iaquinta,Jorge Masvidal
4322,Michael Chiesa,Mitch Clarke
4323,Julianna Pena,Milana Dudieva
4324,Clay Guida,Robert Peralta
4325,Dustin Poirier,Diego Ferreira
4326,Liz Carmouche,Lauren Murphy
4327,Alexander Yakovlev,Gray Maynard
4328,Timothy Johnson,Shamil Abdurakhimov
4329,Ron Stallings,Justin Jones
4330,Demian Maia,Ryan LaFlare
4331,Erick Silva,Josh Koscheck
4332,Leonardo Santos,Anthony Rocco Martin
4333,Amanda Nunes,Shayna Baszler
4334,Gilbert Burns,Alex Oliveira
4335,Godofredo Pepey,Andre Fili
4336,Francisco Trinaldo,Akbarh Arreola
4337,Edimilson Souza,Katsunori Kikuno
4338,Leandro Silva,Drew Dober
4339,Leonardo Mafra,Cain Carrizosa
4340,Christos Giagos,Jorge de Oliveira
4341,Fredy Serrano,Bentley Syler
4342,Rafael Dos Anjos,Anthony Pettis
4343,Joanna Jedrzejczyk,Carla Esparza
4344,Johny Hendricks,Matt Brown
4345,Alistair Overeem,Roy Nelson
4346,Henry Cejudo,Chris Cariaso
4347,Ross Pearson,Sam Stout
4348,Elias Theodorou,Roger Narvaez
4349,Beneil Dariush,Daron Cruickshank
4350,Jared Rosholt,Josh Copeland
4351,Ryan Benoit,Sergio Pettis
4352,Joe Duffy,Jake Lindsey
4353,Germaine de Randamie,Larissa Pacheco
4354,Ronda Rousey,Cat Zingano
4355,Holly Holm,Raquel Pennington
4356,Jake Ellenberger,Josh Koscheck
4357,Alan Jouban,Richard Walsh
4358,Tony Ferguson,Gleison Tibau
4359,Roan Carneiro,Mark Munoz
4360,Roman Salazar,Norifumi Yamamoto
4361,Tim Means,Dhiego Lima
4362,Derrick Lewis,Ruan Potts
4363,Valmir Lazaro,James Krause
4364,Masio Fullen,Alex Torres
4365,Frank Mir,Antonio Silva
4366,Michael Johnson,Edson Barboza
4367,Sam Alvey,Cezar Ferreira
4368,Adriano Martins,Rustam Khabilov
4369,Frankie Saenz,Iuri Alcantara
4370,Santiago Ponzinibbio,Sean Strickland
4371,Marion Reneau,Jessica Andrade
4372,Matt Dwyer,William Macario
4373,Mike de la Torre,Tiago dos Santos e Silva
4374,Douglas Silva de Andrade,Cody Gibson
4375,Ivan Jorge,Josh Shockley
4376,Benson Henderson,Brandon Thatch
4377,Max Holloway,Cole Miller
4378,Neil Magny,Kiichi Kunimoto
4379,Daniel Kelly,Patrick Walsh
4380,Kevin Lee,Michel Prazeres
4381,Ray Borg,Chris Kelades
4382,Efrain Escudero,Rodrigo de Lima
4383,Chas Skelly,Jim Alers
4384,Zach Makovsky,Tim Elliott
4385,James Moontasri,Cody Pfister
4386,Anderson Silva,Nick Diaz
4387,Tyron Woodley,Kelvin Gastelum
4388,Al Iaquinta,Joe Lauzon
4389,Thales Leites,Tim Boetsch
4390,Thiago Alves,Jordan Mein
4391,Miesha Tate,Sara McMann
4392,Derek Brunson,Ed Herman
4393,John Lineker,Ian McCall
4394,Rafael Natal,Tom Watson
4395,Ildemar Alcantara,Richardson Moreira
4396,Thiago Santos,Andy Enz
4397,Anthony Johnson,Alexander Gustafsson
4398,Gegard Mousasi,Dan Henderson
4399,Ryan Bader,Phil Davis
4400,Sam Sicilia,Akira Corassani
4401,Albert Tumenov,Nicholas Musoke
4402,Kenny Robertson,Sultan Aliev
4403,Makwan Amirkhani,Andy Ogle
4404,Nikita Krylov,Stanislav Nedkov
4405,Mairbek Taisumov,Anthony Christodoulou
4406,Mirsad Bektic,Paul Redmond
4407,Viktor Pesta,Konstantin Erokhin
4408,Neil Seery,Chris Beal
4409,Conor McGregor,Dennis Siver
4410,Donald Cerrone,Benson Henderson
4411,Uriah Hall,Ron Stallings
4412,Gleison Tibau,Norman Parke
4413,Cathal Pendred,Sean Spencer
4414,Lorenz Larkin,John Howard
4415,Chris Wade,Zhang Lipeng
4416,Paddy Holohan,Shane Howell
4417,Johnny Case,Frankie Perez
4418,Charles Rosa,Sean Soriano
4419,Sean O'Connell,Matt Van Buren
4420,Joby Sanchez,Tateki Matsuda
4421,Jon Jones,Daniel Cormier
4422,Donald Cerrone,Myles Jury
4423,Brad Tavares,Nate Marquardt
4424,Kyoji Horiguchi,Louis Gaudinot
4425,Hector Lombard,Joshua Burkman
4426,Paul Felder,Danny Castillo
4427,Cody Garbrandt,Marcus Brimage
4428,Shawn Jordan,Jared Cannonier
4429,Evan Dunham,Rodrigo Damm
4430,Omari Akhmedov,Mats Nilsson
4431,Marion Reneau,Alexis Dufresne
4432,Lyoto Machida,CB Dollaway
4433,Renan Barao,Mitch Gagnon
4434,Patrick Cummins,Antonio Carlos Junior
4435,Rashid Magomedov,Elias Silverio
4436,Erick Silva,Mike Rhodes
4437,Daniel Sarafian,Antonio Dos Santos
4438,Marcos Rogerio de Lima,Igor Pokrajac
4439,Renato Moicano,Tom Niinimaki
4440,Hacran Dias,Darren Elkins
4441,Leandro Issa,Yuta Sasaki
4442,Tim Means,Marcio Alexandre Junior
4443,Vitor Miranda,Jake Collier
4444,Junior Dos Santos,Stipe Miocic
4445,Rafael Dos Anjos,Nate Diaz
4446,Alistair Overeem,Stefan Struve
4447,Matt Mitrione,Gabriel Gonzaga
4448,Joanna Jedrzejczyk,Claudia Gadelha
4449,John Moraga,Willie Gates
4450,Ben Saunders,Joe Riggs
4451,Drew Dober,Jamie Varner
4452,Bryan Barberena,Joe Ellenberger
4453,David Michaud,Garett Whiteley
4454,Henry Cejudo,Dustin Kimura
4455,Ian Entwistle,Anthony Birchak
4456,Carla Esparza,Rose Namajunas
4457,Charles Oliveira,Jeremy Stephens
4458,KJ Noons,Daron Cruickshank
